REF_CTR,STATUT_CTR,REF_CTR_PAPIER_CTR,SERVICE_CTR,TYP_CTR,DAT_SIGN_CTR,DAT_DEB_CTR,DAT_RESIL_CTR,DAT_PROCH_VERS_CTR,CA_CTR,CA_EXP_CTR,CA_IMP_CTR,LIM_FIN_CTR,DEVISE_CTR,NB_ACH_PREVU_CTR,NB_FACT_PREVU_CTR,NB_AVOIRS_PREVU_CTR,NB_REMISES_PREVU_CTR,DELAI_MOYEN_REG_CTR,DELAI_MAX_REG_CTR,FACT_REG_CTR,DERN_MONT_DISP_2,MIN_COMM_FACT
47,V    ,004/2015,,0    ,2015-07-30,2015-07-30,2015-07-31,2015-07-31,100000.0,0.0,100000.0,0.0,TND,5,10,0,0,0,0.0,True,0.0,
48,V    ,006/2015,,0    ,2015-10-20,2015-10-20,2015-10-27,2015-10-27,500000.0,0.0,500000.0,150000.0,TND,10,30,0,0,120,120.0,True,0.0,
49,V    ,007-2015,,0    ,2015-11-01,2015-11-01,2015-11-10,2015-11-10,600000.0,0.0,600000.0,250000.0,TND,5,10,0,0,120,120.0,True,0.0,
50,V    ,008/2015,,0    ,2015-11-05,2015-11-05,2015-11-21,2015-11-21,1500000.0,0.0,1500000.0,500000.0,TND,20,150,0,0,0,120.0,True,0.0,
51,V    ,009/2015,,0    ,2015-11-28,2015-11-25,2015-12-11,2015-12-11,3500000.0,0.0,3500000.0,1150000.0,TND,30,500,0,0,0,120.0,True,0.0,
52,V    ,005/2015,,0    ,2014-04-01,2014-04-01,2015-12-22,2015-12-22,1200000.0,0.0,1200000.0,500000.0,TND,8,50,0,0,558,558.0,True,0.0,
53,V    ,001/2016,,0    ,2016-03-09,2016-03-09,2016-03-14,2016-03-14,1500000.0,0.0,1500000.0,500000.0,TND,20,300,0,50,0,120.0,True,0.0,
54,V    ,003/2016,,0    ,2016-05-20,2016-05-20,2016-06-02,2016-06-02,400000.0,0.0,400000.0,100000.0,TND,10,20,0,20,90,120.0,True,0.0,
55,A    ,005-2016,,0    ,2016-06-20,2016-06-20,2016-06-25,2016-06-25,400000.0,0.0,400000.0,100000.0,TND,10,50,0,0,75,90.0,True,0.0,
56,V    ,006/2016,,0    ,2016-09-20,2016-09-20,2016-09-20,2016-09-20,1200000.0,0.0,1200000.0,300000.0,TND,5,60,12,48,120,120.0,True,0.0,
57,V    ,007/2016,,0    ,2016-10-12,2016-10-12,2016-10-12,2016-10-12,11500000.0,0.0,11500000.0,3750000.0,TND,150,800,50,50,90,120.0,True,0.0,
58,V    ,008-2016,,2    ,2016-11-15,2016-11-15,2016-11-15,2016-11-15,1200000.0,0.0,1200000.0,400000.0,TND,50,100,30,40,120,120.0,True,0.0,
59,V    ,009/2016,,0    ,2016-11-18,2016-11-18,2016-11-18,2016-11-18,1000000.0,0.0,1000000.0,520000.0,TND,50,100,10,20,120,120.0,True,0.0,
60,V    ,010/2016,,0    ,2016-11-22,2016-11-22,2016-11-22,2016-11-22,600000.0,0.0,600000.0,200000.0,TND,10,100,25,50,120,120.0,True,0.0,
61,V    ,012/2016,,0    ,2016-12-27,2016-12-27,2016-12-27,2016-12-27,1500000.0,0.0,1500000.0,400000.0,TND,15,100,10,50,90,90.0,True,0.0,
62,V    ,013/2016,,0    ,2016-12-28,2016-12-28,2016-12-28,2016-12-28,360000.0,0.0,360000.0,120000.0,TND,5,50,10,20,60,120.0,True,0.0,
63,V    ,012,,0    ,2017-01-04,2017-01-04,2017-01-04,2017-01-04,1200000.0,0.0,1200000.0,400000.0,TND,40,100,10,25,90,150.0,True,0.0,
64,V    ,001/2017,,0    ,2017-02-01,2017-02-01,2017-02-01,2017-02-01,400000.0,0.0,400000.0,100000.0,TND,10,100,10,30,90,90.0,True,0.0,
65,V    ,005/2017,,0    ,2017-02-21,2017-02-21,2017-02-21,2017-02-21,1500000.0,0.0,1500000.0,1000000.0,TND,3,25,5,12,120,120.0,True,0.0,
66,V    ,004/2017,,0    ,2017-02-21,2017-02-21,2017-02-21,2017-02-21,300000.0,0.0,300000.0,100000.0,TND,5,400,50,50,0,120.0,True,0.0,
67,V    ,003/2017,,0    ,2017-02-25,2017-02-25,2017-02-25,2017-02-25,1200000.0,0.0,1200000.0,500000.0,TND,5,50,10,20,120,120.0,True,0.0,
68,V    ,002/2017,,0    ,2017-03-14,2017-03-14,2017-03-14,2017-03-14,400000.0,0.0,400000.0,100000.0,TND,10,100,10,20,120,120.0,True,0.0,
69,V    ,006/2017,,0    ,2017-03-17,2017-03-17,2017-03-17,2017-03-17,400000.0,0.0,400000.0,135000.0,TND,2,20,5,20,0,120.0,True,0.0,
70,V    ,008/2017,,0    ,2017-04-14,2017-04-14,2017-04-14,2017-04-14,1300000.0,0.0,1300000.0,0.0,TND,10,50,10,30,60,60.0,True,0.0,
71,V    ,009/2017,,0    ,2017-04-25,2017-04-25,2017-04-25,2017-04-25,1500000.0,0.0,1500000.0,500000.0,TND,3,30,10,40,120,120.0,True,0.0,
72,V    ,010/2017,,0    ,2017-05-29,2017-05-29,2017-05-29,2017-05-29,500000.0,0.0,500000.0,85000.0,TND,10,40,10,40,60,60.0,True,0.0,
73,V    ,011/2017,,0    ,2017-06-22,2017-06-22,2017-06-22,2017-06-22,400000.0,0.0,400000.0,100000.0,TND,10,100,20,40,90,90.0,True,0.0,
