NUM_BORD,REF_CTR_BORD,ANNEE_BORD,REF_ADH_BORD,REF_ACH_BORD,DAT_BORD,NB_DOC_BORD,MONT_TOT_BORD,DEVISE_ACH,SOLDE_BORD,VALIDE_BORD,DAT_SAISIE_BORD,EMETTEUR
01,3127,2021,18,,2021-08-31,3,300000.0,,,True,2021-08-31,
01,3128,2021,137,,2021-09-02,1,10000.0,,,True,2021-09-02,
01,3135,2023,4158,,2023-06-05,3,500000.0,,,True,2023-06-11,
0122,95,2019,686,,2019-12-16,4,14221.233,,,True,2019-12-16,
02,35,2014,162,,2014-07-10,1,68722.38,,,True,,
02,36,2014,163,,2014-08-20,1,5643.608,,,True,,
02,40,2017,183,,2017-02-20,1,200000.0,,,True,2017-02-20,
02,47,2016,200,,2016-02-18,4,355000.0,,,True,2016-02-23,
02,48,2015,202,,2015-11-05,1,32783.876,,,True,2015-11-06,
02,50,2015,204,,2015-12-03,2,30231.595,,,True,2015-12-04,
02,51,2015,208,,2015-12-11,9,107116.4,,,True,2015-12-12,
02,54,2016,246,,2016-06-28,1,70012.26,,,True,2016-06-29,
02,55,2016,249,,2016-06-28,1,1791.048,,,True,2016-06-29,
02,57,2016,309,,2016-12-26,71,331123.598,,,True,2016-12-26,
02,58,2016,318,,2016-12-03,6,1023.563,,,True,2016-12-05,
02,59,2017,337,,2017-08-23,1,500000.0,,,True,2017-08-24,
02,60,2016,338,,2016-11-25,3,17531.561,,,True,2016-11-25,
02,61,2016,378,,2016-12-29,2,42087.529,,,True,2016-12-29,
02,63,2017,211,,2017-01-20,7,103210.021,,,True,2017-01-20,
02,64,2017,442,,2017-02-01,3,3870.758,,,True,2017-02-02,
02,65,2017,445,,2017-03-17,2,702965.333,,,True,2017-03-17,
02,66,2017,447,,2017-03-21,46,9661.544,,,True,2017-03-21,
02,67,2017,448,,2017-03-22,1,183285.9,,,True,2017-03-29,
02,68,2017,456,,2017-04-25,9,29386.205,,,True,2017-04-25,
02,69,2017,463,,2017-04-08,2,53084.8,,,True,2017-04-12,
02,70,2017,473,,2017-08-17,1,47237.056,,,True,2017-08-17,
02,71,2017,484,,2017-05-06,2,194777.425,,,True,2017-05-08,
02,72,2017,491,,2017-06-13,2,118897.8,,,True,2017-06-13,
02,73,2017,511,,2017-07-05,3,14692.5,,,True,2017-07-05,
02,74,2017,18,,2017-10-26,2,2108901.412,,,True,2017-10-26,
02,75,2018,555,,2018-05-08,1,208218.0,,,True,2018-05-08,
02,83,2018,567,,2018-01-22,1,120002.96,,,True,2018-01-22,
02,84,2018,572,,2018-05-02,1,21437.378,,,True,2018-05-02,
02,86,2018,585,,2018-03-05,1,60455.57,,,True,2018-03-05,
02,88,2018,588,,2018-07-05,1,99805.3,,,True,2018-07-05,
02,90,2019,591,,2019-02-22,342,4372052.818,,,True,2019-02-22,
02,92,2018,679,,2018-06-29,5,141800.256,,,True,2018-06-29,
02,94,2018,685,,2018-07-23,1,14620.934,,,True,2018-07-23,
