ID_HISTORIQUE,DATE_ACTION,ACTION,T_TABLE,ID_ENREGISTREMENT,LOGIN_USER,IP_PC,NOM_PC,REF_CTR_HIST,REF_IND_HIST,ABREV_ROLE_HIST,ID_HISTORIQUEE
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11847,cyrine,10.2.115.20,10.2.115.20,57,309,Numérisation_des_documents2423104,730
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11846,cyrine,10.2.115.20,10.2.115.20,57,309,Numérisation_des_documents2423103,731
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11845,cyrine,10.2.115.20,10.2.115.20,57,309,Numérisation_des_documents2423102,732
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11844,cyrine,10.2.115.20,10.2.115.20,57,309,Numérisation_des_documents0000787,733
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11843,cyrine,10.2.115.20,10.2.115.20,57,309,Numérisation_des_documents2087726,734
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11802,cyrine,10.2.115.20,10.2.115.20,94,685,Numérisation_des_documents202057,735
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11801,cyrine,10.2.115.20,10.2.115.20,48,202,Numérisation_des_documents202056,736
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11800,cyrine,10.2.115.20,10.2.115.20,50,204,Numérisation_des_documents202055,737
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11795,cyrine,10.2.115.20,10.2.115.20,67,448,Numérisation_des_documents202054,738
0,2020-01-24,Creation Encaissement,T_ENCAISSEMENT,12416,cyrine,10.2.115.20,10.2.115.20,48,37,Creation Encaissement AV19252,739
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11874,cyrine,10.2.115.20,10.2.115.20,48,202,Numérisation_des_documentsAV19252,740
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11769,Admin,172.16.15.8,172.16.15.8,66,447,Numérisation_des_documentsAV00262019,741
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,10061,cyrine,10.2.115.20,10.2.115.20,68,456,Numérisation_des_documents039,742
