ID_DET_BORD,REF_CTR_DET_BORD,ANNEE_BORD,NUM_BORD,TYP_DET_BORD,NUM_CREANCE_ASS_BORD,TYP_ASS_DET_BORD,DAT_DET_BORD,MONT_TTC_DET_BORD,DEVISE_DET_BORD,ECH_DET_BORD,ECH_APR_PROROG_DET_BORD,MONT_OUV_DET_BORD,DELAI_PAIE_DET_BORD,MODE_REG_DET_BORD,TYP_REG_DET_BORD,TX_FDG_DET_BORD,TX_COMM_FACT_DET_BORD,ANNUL_DET_BORD,VALIDE_DET_BORD,REF_IND_DET_BORD,MONT_FDG_DET_BORD,MONT_FDG_LIBERE_DET_BORD,MONT_COMM_FACT_DET_BORD,TX_TVA_COMM_FACT_DET_BORD,MONT_TVA_COMM_FACT_DET_BORD,MONT_TTC_COMM_FACT_DET_BORD,ID_CALC_DISPO_DET_BORD,REF_DET_BORD,COMM_DET_BORD,RETENU_DET_BORD
30160,57,2019,25,fact ,30160,,2019-04-18,42799.716,TND,214.0,,0.0,,C    ,,8.0,0.005,False,True,1034,0.0,3423.977,213.998,0.19,40.659,254.658,,,,0.0
30161,57,2019,25,fact ,30161,,2019-07-31,3464.614,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,647,0.0,277.169,17.323,0.19,3.291,20.614,,,,0.0
30162,57,2019,25,fact ,30162,,2019-07-31,38317.246,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,884,0.0,1545.38,191.586,0.19,36.401,227.987,,,,0.0
30163,57,2019,25,fact ,30163,,2019-06-20,5089.902,TND,132.0,,0.0,,C    ,,8.0,0.005,False,True,886,0.0,407.192,25.449,0.19,4.835,30.284,,,,0.0
30164,57,2019,25,fact ,30164,,2019-07-24,16900.742,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,699,0.0,360.0,84.503,0.19,16.055,100.559,,,,0.0
30165,57,2019,25,fact ,30165,,2019-07-20,20451.419,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,363,0.0,1636.113,102.257,0.19,19.428,121.685,,,,0.0
30166,57,2019,25,fact ,30166,,2019-08-03,4076.658,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,299,0.0,326.133,20.383,0.19,3.872,24.256,,,,0.0
30167,57,2019,25,fact ,30167,,2019-07-04,6999.646,TND,157.0,,0.0,,C    ,,8.0,0.005,False,True,507,0.0,559.972,34.998,0.19,6.649,41.647,,,,0.0
30168,57,2019,25,fact ,30168,,2019-07-24,1575.625,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,265,0.0,126.05,7.878,0.19,1.496,9.374,,,,0.0
30169,57,2019,25,fact ,30169,,2019-07-19,4796.912,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,411,0.0,383.752,23.984,0.19,4.557,28.541,,,,0.0
30170,57,2019,25,fact ,30170,,2019-07-24,5187.286,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,1036,0.0,414.982,25.936,0.19,4.927,30.864,,,,0.0
30171,57,2019,25,fact ,30171,,2019-07-22,6195.619,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,266,0.0,495.649,30.978,0.19,5.885,36.863,,,,0.0
30172,57,2019,25,fact ,30172,,2019-07-06,1356.921,TND,133.0,,0.0,,C    ,,8.0,0.005,False,True,410,0.0,108.553,6.784,0.19,1.289,8.073,,,,0.0
30173,57,2019,25,fact ,30173,,2019-07-29,1300.0,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,410,0.0,104.0,6.5,0.19,1.235,7.735,,,,0.0
30174,57,2019,25,fact ,30174,,2019-07-24,12951.454,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,409,0.0,1036.116,64.757,0.19,12.303,77.061,,,,0.0
30175,57,2019,25,fact ,30175,,2019-07-15,1064.6,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,1037,0.0,85.168,5.323,0.19,1.011,6.334,,,,0.0
30176,57,2019,25,fact ,30176,,2019-07-11,5110.912,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,727,0.0,408.872,25.554,0.19,4.855,30.409,,,,0.0
30177,57,2019,25,fact ,30177,,2019-07-29,2000.0,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,727,0.0,80.0,10.0,0.19,1.9,11.9,,,,0.0
30178,57,2019,25,fact ,30178,,2019-05-29,1618.703,TND,200.0,,0.0,,C    ,,8.0,0.005,False,True,727,0.0,129.496,8.093,0.19,1.537,9.631,,,,0.0
30179,57,2019,25,fact ,30179,,2019-07-17,2200.0,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,419,0.0,176.0,11.0,0.19,2.09,13.09,,,,0.0
30180,57,2019,25,fact ,30180,,2019-06-29,2569.772,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,291,0.0,205.581,12.848,0.19,2.441,15.29,,,,0.0
30181,57,2019,25,fact ,30181,,2019-07-05,2569.772,TND,148.0,,0.0,,C    ,,8.0,0.005,False,True,291,0.0,205.582,12.848,0.19,2.441,15.29,,,,0.0
30182,57,2019,25,fact ,30182,,2019-07-04,30000.0,TND,156.0,,0.0,,C    ,,8.0,0.005,False,True,270,0.0,480.0,150.0,0.19,28.5,178.5,,,,0.0
30183,57,2019,25,fact ,30183,,2019-07-24,12425.315,TND,157.0,,0.0,,C    ,,8.0,0.005,False,True,270,0.0,994.025,62.126,0.19,11.804,73.93,,,,0.0
30184,57,2019,25,fact ,30184,,2019-07-31,1601.221,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,417,0.0,128.097,8.006,0.19,1.521,9.527,,,,0.0
30185,57,2019,25,fact ,30185,,2019-08-06,3524.937,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,1038,0.0,281.994,17.624,0.19,3.348,20.973,,,,0.0
30186,57,2019,25,fact ,30186,,2019-07-11,2271.664,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,540,0.0,181.733,11.358,0.19,2.158,13.516,,,,0.0
30187,57,2019,25,fact ,30187,,2019-07-06,3500.0,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,304,0.0,280.0,17.5,0.19,3.325,20.825,,,,0.0
